# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = parameter_estimation_model_4.data.R
# init = 2 (Default)
# random
#   seed = 297267789
# output
#   file = parameter_estimation_model_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.852824
# Diagonal elements of inverse mass matrix:
# 0.0416938, 0.0484983, 0.000275914, 0.000392753, 0.000245089, 0.000311535
-6.95563,0.527853,0.852824,2,3,0,9.3822,0.498215,0.718658,1.49782,0.985521,2.99357,1.017,1.49782,0.985521,2.99357,1.017
-4.57305,1,0.852824,2,3,0,7.77751,0.530164,0.769615,1.49602,0.9962,3.0003,1.00343,1.49602,0.9962,3.0003,1.00343
-4.08632,0.842147,0.852824,2,7,0,7.06615,0.522298,0.611177,1.50831,0.997728,3.00533,0.990067,1.50831,0.997728,3.00533,0.990067
-5.72613,0.81633,0.852824,2,3,0,6.39565,0.776477,0.547272,1.50119,1.00845,2.9917,0.993098,1.50119,1.00845,2.9917,0.993098
-6.29668,0.900322,0.852824,4,23,0,8.21237,0.7866,0.444312,1.4995,0.99327,2.98758,1.00551,1.4995,0.99327,2.98758,1.00551
-6.35247,0.506681,0.852824,2,3,0,11.8898,0.425691,0.899997,1.50555,0.999248,3.00606,0.991568,1.50555,0.999248,3.00606,0.991568
-6.12074,0.839919,0.852824,2,3,0,9.19704,0.446171,0.847148,1.50285,0.994107,3.01021,0.991164,1.50285,0.994107,3.01021,0.991164
-5.36537,0.939669,0.852824,3,11,0,8.6525,0.527655,0.712105,1.50291,0.986355,3.00706,0.989168,1.50291,0.986355,3.00706,0.989168
-4.78648,0.958953,0.852824,3,15,0,6.77968,0.498584,0.435597,1.50586,1.00349,2.99363,1.00355,1.50586,1.00349,2.99363,1.00355
-5.47995,0.813352,0.852824,2,3,0,7.78271,0.582175,0.780066,1.50278,1.00117,3.01095,0.989779,1.50278,1.00117,3.01095,0.989779
-5.53369,0.986071,0.852824,3,11,0,6.32263,0.531719,0.689448,1.50545,1.00003,3.01447,0.987136,1.50545,1.00003,3.01447,0.987136
-5.80668,0.927077,0.852824,3,11,0,7.34839,0.560863,0.478918,1.50622,0.991104,2.99622,1.01522,1.50622,0.991104,2.99622,1.01522
-6.52327,0.548245,0.852824,2,7,0,12.5672,0.536991,0.632466,1.48713,1.01102,3.01109,1.00504,1.48713,1.01102,3.01109,1.00504
-5.82857,0.827855,0.852824,3,11,0,10.0532,0.675047,0.446411,1.51424,0.989321,2.9985,0.992082,1.51424,0.989321,2.9985,0.992082
-4.51945,0.935877,0.852824,2,3,0,7.29995,0.438913,0.61982,1.49429,0.996216,3.00016,0.99769,1.49429,0.996216,3.00016,0.99769
-4.05545,0.278813,0.852824,2,3,0,8.60451,0.519391,0.542276,1.50002,0.995334,2.99487,1.00933,1.50002,0.995334,2.99487,1.00933
-5.25129,0.750998,0.852824,2,3,0,7.04909,0.510448,0.53543,1.49024,1.00075,3.01325,1.00632,1.49024,1.00075,3.01325,1.00632
-8.78253,0.639654,0.852824,2,3,0,10.6136,0.594397,0.560928,1.52369,0.996674,2.98928,0.979157,1.52369,0.996674,2.98928,0.979157
-5.72279,1,0.852824,2,3,0,9.32116,0.571884,0.614022,1.51312,0.991061,3.0015,0.982973,1.51312,0.991061,3.0015,0.982973
-7.3184,0.912621,0.852824,4,15,0,7.92858,0.496664,0.492854,1.48666,1.00583,2.9904,1.01246,1.48666,1.00583,2.9904,1.01246
-7.11021,0.98261,0.852824,5,59,0,9.48591,0.56096,0.470436,1.50049,1.01545,2.99239,0.98477,1.50049,1.01545,2.99239,0.98477
-5.30615,0.989213,0.852824,2,7,0,8.06121,0.529297,0.670807,1.51043,1.00328,3.01251,0.991165,1.51043,1.00328,3.01251,0.991165
-5.55173,0.924106,0.852824,2,3,0,7.21867,0.564436,0.703985,1.49403,0.99063,3.00354,0.988996,1.49403,0.99063,3.00354,0.988996
-5.75561,0.622541,0.852824,2,3,0,11.7828,0.469701,0.417331,1.5096,0.999518,3.0103,1.00141,1.5096,0.999518,3.0103,1.00141
-6.18238,0.371285,0.852824,2,3,0,12.0744,0.452647,0.549309,1.4859,0.99867,3.00347,1.00919,1.4859,0.99867,3.00347,1.00919
-6.65517,0.683014,0.852824,2,7,0,10.159,0.832991,0.533099,1.51327,0.987039,2.99651,1.00092,1.51327,0.987039,2.99651,1.00092
-6.78908,0.62937,0.852824,2,7,0,10.464,0.422564,0.719434,1.49926,1.01805,3.00374,0.993648,1.49926,1.01805,3.00374,0.993648
