# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = parameter_estimation_model_3.data.R
# init = 2 (Default)
# random
#   seed = 297267787
# output
#   file = parameter_estimation_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.581939
# Diagonal elements of inverse mass matrix:
# 0.0544042, 0.0465474, 0.000320003, 0.000405405, 0.000290869, 0.000407236
-5.81769,0.895826,0.581939,2,7,0,10.9713,0.707504,0.817374,1.50629,0.992392,3.00238,0.996482,1.50629,0.992392,3.00238,0.996482
-6.69098,0.965686,0.581939,3,7,0,8.6053,0.461267,0.726989,1.51072,0.981512,2.99923,0.98891,1.51072,0.981512,2.99923,0.98891
-4.06175,1,0.581939,3,7,0,7.33161,0.591837,0.559375,1.50711,1.00513,2.9982,0.991391,1.50711,1.00513,2.9982,0.991391
-3.89719,1,0.581939,3,7,0,4.3589,0.608274,0.571071,1.50507,1.00434,3.00279,0.992852,1.50507,1.00434,3.00279,0.992852
-4.12548,0.98961,0.581939,3,7,0,4.68376,0.47185,0.530917,1.49679,0.996554,2.99772,1.00852,1.49679,0.996554,2.99772,1.00852
-5.81055,0.637296,0.581939,2,3,0,10.2609,0.52452,0.611822,1.48838,0.992377,3.01457,1.00188,1.48838,0.992377,3.01457,1.00188
-5.54078,1,0.581939,3,7,0,7.37896,0.414395,0.727537,1.49883,0.992883,3.00758,1.00701,1.49883,0.992883,3.00758,1.00701
-7.88959,0.718844,0.581939,3,7,0,10.8806,0.722647,0.499173,1.49306,1.01788,2.99493,0.991331,1.49306,1.01788,2.99493,0.991331
-7.98857,0.865842,0.581939,3,7,0,14.8368,0.585748,0.702377,1.50579,0.992852,2.99952,1.0237,1.50579,0.992852,2.99952,1.0237
-8.68137,0.9747,0.581939,3,7,0,12.8507,0.926064,0.607663,1.50666,1.0084,2.99843,0.979089,1.50666,1.0084,2.99843,0.979089
-8.82168,0.901138,0.581939,3,7,0,16.4254,0.359729,0.584635,1.49779,0.978755,3.0082,1.0124,1.49779,0.978755,3.0082,1.0124
-9.37981,1,0.581939,3,7,0,12.6573,0.94156,0.482669,1.51553,1.01356,2.99645,0.987151,1.51553,1.01356,2.99645,0.987151
-7.52176,0.947646,0.581939,2,7,0,11.8022,0.809822,0.383894,1.50328,1.00581,3.00798,0.994647,1.50328,1.00581,3.00798,0.994647
-5.2516,0.978381,0.581939,3,7,0,10.2115,0.481093,0.67768,1.51153,1.00817,3.00285,0.989628,1.51153,1.00817,3.00285,0.989628
-5.57098,0.965565,0.581939,3,7,0,7.55249,0.597831,0.623619,1.4967,0.995173,3.01256,1.01374,1.4967,0.995173,3.01256,1.01374
-5.07639,0.987267,0.581939,3,7,0,7.7053,0.505018,0.480962,1.51316,0.995828,2.9898,0.990375,1.51316,0.995828,2.9898,0.990375
-4.61073,1,0.581939,3,7,0,5.77248,0.502129,0.657221,1.50024,0.994288,2.9973,1.01142,1.50024,0.994288,2.9973,1.01142
-4.60967,0.994022,0.581939,3,7,0,6.00484,0.600456,0.447099,1.5064,0.99907,3.00284,0.988034,1.5064,0.99907,3.00284,0.988034
-4.2863,0.999345,0.581939,3,7,0,5.5221,0.475703,0.516858,1.50841,1.00555,3.0069,0.996644,1.50841,1.00555,3.0069,0.996644
-4.68779,0.947566,0.581939,3,7,0,5.90498,0.601106,0.68959,1.49557,0.991153,2.99356,1.00047,1.49557,0.991153,2.99356,1.00047
-6.17568,0.873037,0.581939,3,7,0,9.60167,0.503072,0.447937,1.5138,1.01183,2.99558,0.996589,1.5138,1.01183,2.99558,0.996589
-6.44455,0.980478,0.581939,3,7,0,9.23122,0.582026,0.669667,1.49059,0.981661,3.01016,0.999166,1.49059,0.981661,3.01016,0.999166
-6.18561,0.984609,0.581939,3,7,0,9.3407,0.539928,0.49942,1.51364,1.01383,2.99658,1.00279,1.51364,1.01383,2.99658,1.00279
-3.87063,1,0.581939,2,3,0,6.26425,0.471445,0.588358,1.4972,0.996493,3.00334,0.994493,1.4972,0.996493,3.00334,0.994493
-4.60634,0.91851,0.581939,3,7,0,5.98665,0.669552,0.55155,1.5096,0.996687,2.99885,1.00537,1.5096,0.996687,2.99885,1.00537
-5.72305,0.940722,0.581939,3,7,0,6.82989,0.442908,0.571507,1.4937,1.00022,2.99939,0.988388,1.4937,1.00022,2.99939,0.988388
-6.68028,0.940728,0.581939,3,7,0,9.50926,0.468918,0.510865,1.52076,0.998441,3.00459,0.992965,1.52076,0.998441,3.00459,0.992965
-3.64126,1,0.581939,2,3,0,6.75579,0.535001,0.472458,1.50551,0.998393,3.00387,0.997638,1.50551,0.998393,3.00387,0.997638
-5.01875,0.778624,0.581939,3,7,0,9.24862,0.519455,0.746233,1.49839,0.98796,2.99673,0.994715,1.49839,0.98796,2.99673,0.994715
