# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = parameter_estimation_model_1.data.R
# init = 2 (Default)
# random
#   seed = 297267719
# output
#   file = parameter_estimation_model_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.579751
# Diagonal elements of inverse mass matrix:
# 0.0443362, 0.0447434, 0.000241666, 0.000425391, 0.000233142, 0.000342058
-7.5427,0.984285,0.579751,3,7,0,10.2483,0.836935,0.748871,1.49141,0.999147,2.98844,1.00771,1.49141,0.999147,2.98844,1.00771
-5.79967,0.992187,0.579751,3,7,0,9.65889,0.421342,0.4904,1.50914,0.997632,3.01591,0.995838,1.50914,0.997632,3.01591,0.995838
-6.46225,0.81724,0.579751,3,7,0,11.6924,0.69391,0.502915,1.5056,0.982479,2.98676,0.989896,1.5056,0.982479,2.98676,0.989896
-6.34244,0.939072,0.579751,3,7,0,9.44943,0.429275,0.681575,1.49999,1.01609,3.01117,1.00196,1.49999,1.01609,3.01117,1.00196
-5.11849,0.917171,0.579751,3,7,0,10.1608,0.594105,0.585135,1.49757,0.990331,3.00539,0.985787,1.49757,0.990331,3.00539,0.985787
-5.29593,0.957256,0.579751,3,7,0,7.35639,0.526719,0.488051,1.50967,1.00292,2.99615,1.01026,1.50967,1.00292,2.99615,1.01026
-5.37147,0.989922,0.579751,3,7,0,7.50757,0.496218,0.437899,1.50189,1.00107,2.99108,1.01009,1.50189,1.00107,2.99108,1.01009
-6.59217,0.924038,0.579751,3,7,0,9.17402,0.517445,0.565335,1.50405,1.01732,3.01328,1.00742,1.50405,1.01732,3.01328,1.00742
-5.41477,1,0.579751,3,7,0,8.40472,0.540621,0.454762,1.50216,0.995993,2.99756,0.98212,1.50216,0.995993,2.99756,0.98212
-4.98353,0.964612,0.579751,3,7,0,7.96456,0.600779,0.645837,1.50121,0.998118,3.00511,1.0136,1.50121,0.998118,3.00511,1.0136
-5.71378,0.989035,0.579751,3,7,0,6.74637,0.560274,0.618483,1.49031,0.989357,3.00049,1.01422,1.49031,0.989357,3.00049,1.01422
-4.9156,0.899027,0.579751,3,7,0,10.0625,0.464936,0.444002,1.50889,1.00229,2.99112,0.99432,1.50889,1.00229,2.99112,0.99432
-6.18016,0.735962,0.579751,3,7,0,11.184,0.721158,0.800067,1.49255,0.996141,3.00821,0.999938,1.49255,0.996141,3.00821,0.999938
-4.73441,0.889218,0.579751,3,7,0,11.2128,0.563268,0.480889,1.51082,0.994711,2.99487,1.00523,1.51082,0.994711,2.99487,1.00523
-4.23255,0.746554,0.579751,2,3,0,10.9571,0.457109,0.578341,1.50275,0.989079,2.99827,0.991395,1.50275,0.989079,2.99827,0.991395
-5.23452,0.900606,0.579751,3,7,0,6.7163,0.423237,0.516425,1.50248,0.996008,2.99177,0.98718,1.50248,0.996008,2.99177,0.98718
-5.82462,0.840125,0.579751,3,7,0,10.8201,0.83797,0.528525,1.504,0.994814,3.00951,1.00528,1.504,0.994814,3.00951,1.00528
-4.36435,0.952888,0.579751,3,7,0,9.29175,0.635858,0.552618,1.49998,0.997018,2.9911,0.991996,1.49998,0.997018,2.9911,0.991996
-3.96029,0.937761,0.579751,3,7,0,7.57403,0.464451,0.583042,1.508,1.00087,3.00604,0.996171,1.508,1.00087,3.00604,0.996171
-3.7314,0.986282,0.579751,3,7,0,4.81885,0.530377,0.606961,1.49755,0.995628,2.9941,1.00031,1.49755,0.995628,2.9941,1.00031
-5.88943,0.918551,0.579751,2,7,0,6.95205,0.462373,0.883194,1.50761,0.996826,2.99596,0.992098,1.50761,0.996826,2.99596,0.992098
-3.91132,0.936239,0.579751,3,7,0,7.66408,0.649,0.510375,1.5032,0.998979,2.99989,0.992319,1.5032,0.998979,2.99989,0.992319
-3.81701,0.983877,0.579751,3,7,0,4.62652,0.443095,0.603782,1.50011,0.996015,2.99957,1.00278,1.50011,0.996015,2.99957,1.00278
-5.35196,0.953866,0.579751,3,7,0,5.92526,0.64342,0.649938,1.49112,0.991469,3.00612,1.00905,1.49112,0.991469,3.00612,1.00905
-4.67283,0.967698,0.579751,3,7,0,7.35172,0.519033,0.503834,1.51121,1.0051,2.99375,0.990069,1.51121,1.0051,2.99375,0.990069
-4.83442,0.883505,0.579751,3,7,0,7.57073,0.499687,0.596637,1.49532,1.00171,3.01513,1.00488,1.49532,1.00171,3.01513,1.00488
-4.86251,0.98769,0.579751,3,7,0,5.7104,0.567016,0.503074,1.50521,0.992797,2.98542,0.991898,1.50521,0.992797,2.98542,0.991898
-6.86681,0.776195,0.579751,2,3,0,9.86994,0.621037,0.450905,1.5113,1.00644,2.98355,0.988013,1.5113,1.00644,2.98355,0.988013
-7.30473,0.95807,0.579751,3,7,0,10.435,0.522988,0.61544,1.49626,0.99776,3.02388,0.986765,1.49626,0.99776,3.02388,0.986765
-6.66511,0.746649,0.579751,3,7,0,14.7258,0.50301,0.643034,1.51375,0.991594,3.01635,0.988744,1.51375,0.991594,3.01635,0.988744
-5.55705,0.984216,0.579751,3,7,0,8.7676,0.458538,0.478424,1.50561,1.00683,2.98721,1.00527,1.50561,1.00683,2.98721,1.00527
-6.38016,0.897328,0.579751,3,7,0,8.79823,0.50053,0.572152,1.51666,0.987248,2.99736,1.00537,1.51666,0.987248,2.99736,1.00537
-5.13243,0.947064,0.579751,3,7,0,9.70488,0.431257,0.499268,1.51247,0.996855,2.99148,0.997616,1.51247,0.996855,2.99148,0.997616
-4.22445,1,0.579751,3,7,0,5.62081,0.486188,0.569779,1.50338,0.996641,2.98836,0.993735,1.50338,0.996641,2.98836,0.993735
-6.10588,0.804899,0.579751,2,3,0,7.95331,0.450016,0.461881,1.50735,0.980706,2.98842,0.995576,1.50735,0.980706,2.98842,0.995576
-4.2474,0.982467,0.579751,3,7,0,7.48325,0.567985,0.447631,1.49551,0.991977,3.0008,1.00242,1.49551,0.991977,3.0008,1.00242
-3.68845,0.97489,0.579751,3,7,0,5.62525,0.472327,0.617968,1.50238,0.992672,2.99738,0.998974,1.50238,0.992672,2.99738,0.998974
