# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = parameter_estimation_model_2.data.R
# init = 2 (Default)
# random
#   seed = 3242791296
# output
#   file = parameter_estimation_model_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.277134
# Diagonal elements of inverse mass matrix:
# 0.0836862, 0.0738823, 0.000142162, 0.000437114, 0.000171403, 0.000157043
38.9836,0.855618,0.277134,3,15,0,-38.1364,0.112272,0.0794201,1.50312,0.988775,2.9928,0.99924,1.50312,0.988775,2.9928,0.99924
37.5512,0.703556,0.277134,2,3,0,-33.4386,0.119547,0.0748717,1.50092,0.987744,2.98895,0.995375,1.50092,0.987744,2.98895,0.995375
39.4435,0.976885,0.277134,3,15,0,-36.4787,0.0663587,0.0923674,1.50257,1.01411,2.99521,0.994202,1.50257,1.01411,2.99521,0.994202
38.8361,0.911723,0.277134,4,15,0,-36.2639,0.119249,0.0661855,1.496,0.991325,2.99743,1.00165,1.496,0.991325,2.99743,1.00165
40.1799,0.999597,0.277134,3,7,0,-36.5677,0.0707689,0.0693125,1.49944,0.997959,3.00029,1.0068,1.49944,0.997959,3.00029,1.0068
38.6084,0.988683,0.277134,3,7,0,-34.9006,0.0637326,0.0705281,1.49761,0.993501,3.0098,0.997185,1.49761,0.993501,3.0098,0.997185
40.51,1,0.277134,4,15,0,-36.4251,0.112556,0.086163,1.50165,1.00937,2.99838,0.996512,1.50165,1.00937,2.99838,0.996512
40.6322,0.946604,0.277134,3,15,0,-38.5755,0.094954,0.0942916,1.49855,1.00713,3.0112,1.00057,1.49855,1.00713,3.0112,1.00057
41.0785,0.984557,0.277134,3,15,0,-37.9744,0.076702,0.056199,1.49795,0.995306,2.99777,1.005,1.49795,0.995306,2.99777,1.005
39.7936,0.704126,0.277134,4,15,0,-36.9784,0.0768966,0.105861,1.4976,1.0015,3.00504,0.998067,1.4976,1.0015,3.00504,0.998067
39.936,1,0.277134,4,15,0,-37.7738,0.0752556,0.102658,1.49905,0.985879,2.99791,1.00128,1.49905,0.985879,2.99791,1.00128
40.1219,0.937363,0.277134,3,15,0,-38.295,0.0734994,0.110389,1.50179,0.991188,2.99835,1.00084,1.50179,0.991188,2.99835,1.00084
