# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = parameter_estimation_model_4.data.R
# init = 2 (Default)
# random
#   seed = 3242791311
# output
#   file = parameter_estimation_model_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.284569
# Diagonal elements of inverse mass matrix:
# 0.0837408, 0.079592, 0.000118441, 0.000437167, 0.000158476, 0.000119823
36.8056,0.949361,0.284569,3,7,0,-34.669,0.0980286,0.0715919,1.49006,1.00792,3.01656,1.01489,1.49006,1.00792,3.01656,1.01489
40.2893,1,0.284569,4,15,0,-35.8424,0.0729222,0.0692091,1.49754,0.987525,3.00629,1.00233,1.49754,0.987525,3.00629,1.00233
41.6585,0.987359,0.284569,3,7,0,-39.7011,0.0792717,0.065843,1.49687,0.995924,3.00479,1.00611,1.49687,0.995924,3.00479,1.00611
40.4711,0.967024,0.284569,4,15,0,-38.5228,0.0876195,0.0781705,1.5048,1.00505,2.98432,0.998644,1.5048,1.00505,2.98432,0.998644
40.4014,0.956117,0.284569,3,7,0,-37.8944,0.089484,0.0512724,1.50514,1.00392,2.99055,0.993708,1.50514,1.00392,2.99055,0.993708
40.5854,0.973253,0.284569,4,15,0,-38.1111,0.0607047,0.118704,1.49868,0.99876,3.00202,1.00369,1.49868,0.99876,3.00202,1.00369
40.3341,0.950108,0.284569,4,15,0,-38.3531,0.0620928,0.0848188,1.49429,0.994724,3.01343,1.00487,1.49429,0.994724,3.01343,1.00487
37.2471,0.927109,0.284569,3,7,0,-35.9024,0.0713411,0.0865659,1.49521,0.982154,3.01677,1.00274,1.49521,0.982154,3.01677,1.00274
39.5476,0.954825,0.284569,3,7,0,-36.1489,0.0732195,0.0962081,1.49302,0.990417,3.01054,1.00768,1.49302,0.990417,3.01054,1.00768
37.5166,0.958374,0.284569,4,15,0,-35.22,0.0548676,0.0957077,1.4942,1.00949,3.0191,1.00358,1.4942,1.00949,3.0191,1.00358
