# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = parameter_estimation_model_1.data.R
# init = 2 (Default)
# random
#   seed = 3242791296
# output
#   file = parameter_estimation_model_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.274046
# Diagonal elements of inverse mass matrix:
# 0.0951249, 0.0718699, 0.000121775, 0.000482983, 0.000147896, 0.00011472
41.1073,0.983165,0.274046,4,15,0,-37.5634,0.0888329,0.0723515,1.50575,1.00233,2.99393,0.994536,1.50575,1.00233,2.99393,0.994536
37.2078,0.868306,0.274046,3,7,0,-32.8625,0.0858586,0.0863117,1.50374,0.995501,3.00431,0.987852,1.50374,0.995501,3.00431,0.987852
36.4152,0.986644,0.274046,4,15,0,-33.4303,0.156132,0.0897842,1.50419,0.988984,2.98738,0.998831,1.50419,0.988984,2.98738,0.998831
37.7475,0.996684,0.274046,3,7,0,-34.6893,0.107347,0.111386,1.5018,0.985726,2.99232,0.99476,1.5018,0.985726,2.99232,0.99476
37.5195,0.980228,0.274046,4,15,0,-33.6559,0.0936185,0.13032,1.50108,0.985703,2.99242,0.995713,1.50108,0.985703,2.99242,0.995713
34.8954,0.898113,0.274046,4,15,0,-30.7234,0.114133,0.0582428,1.49626,1.00516,3.02451,1.00926,1.49626,1.00516,3.02451,1.00926
35.588,0.969619,0.274046,4,15,0,-32.1985,0.0630556,0.0892794,1.49801,0.986487,3.00705,1.00932,1.49801,0.986487,3.00705,1.00932
37.2217,1,0.274046,4,15,0,-34.1477,0.159831,0.0885447,1.49923,1.00541,3.01036,1.00637,1.49923,1.00541,3.01036,1.00637
38.434,1,0.274046,3,7,0,-35.81,0.137435,0.0806382,1.49757,1.01152,3.01032,1.00054,1.49757,1.01152,3.01032,1.00054
38.7515,0.988416,0.274046,4,15,0,-34.451,0.0554908,0.0622751,1.50068,0.994082,3.00072,0.995165,1.50068,0.994082,3.00072,0.995165
37.0438,0.995092,0.274046,4,15,0,-33.9023,0.119998,0.140655,1.49686,1.00172,2.99909,1.01039,1.49686,1.00172,2.99909,1.01039
41.1504,0.994719,0.274046,3,7,0,-36.1369,0.0939234,0.106884,1.49881,1.00206,3.00201,1.00117,1.49881,1.00206,3.00201,1.00117
41.5441,0.988168,0.274046,4,15,0,-39.0926,0.0687668,0.0511844,1.50119,1.00223,2.99645,1.00034,1.50119,1.00223,2.99645,1.00034
41.9263,0.997147,0.274046,4,15,0,-40.7785,0.0889937,0.0907846,1.50102,0.999644,3.00065,0.999604,1.50102,0.999644,3.00065,0.999604
35.7339,0.938211,0.274046,3,15,0,-33.0149,0.103769,0.0888312,1.48961,0.981652,3.00759,1.01428,1.48961,0.981652,3.00759,1.01428
36.0147,0.957749,0.274046,4,15,0,-32.8104,0.0603776,0.0743757,1.50868,1.02346,2.98888,0.990023,1.50868,1.02346,2.98888,0.990023
39.9037,0.894641,0.274046,4,15,0,-32.4709,0.094452,0.110753,1.49889,1.01142,3.00162,1.00404,1.49889,1.01142,3.00162,1.00404
33.8025,0.950726,0.274046,3,15,0,-31.3656,0.0887617,0.130549,1.50118,0.971193,2.99627,0.997683,1.50118,0.971193,2.99627,0.997683
37.4159,0.98121,0.274046,3,15,0,-30.1278,0.0522837,0.0942613,1.50093,1.02127,2.99729,0.999287,1.50093,1.02127,2.99729,0.999287
39.2615,0.84197,0.274046,4,15,0,-35.5435,0.113597,0.0714956,1.49799,0.987693,3.00186,1.00048,1.49799,0.987693,3.00186,1.00048
32.7951,0.781415,0.274046,3,7,0,-31.7448,0.11058,0.0743648,1.50149,0.976783,3.00435,1.00274,1.50149,0.976783,3.00435,1.00274
38.0313,1,0.274046,2,3,0,-32.8299,0.097562,0.0832497,1.49881,0.981095,3.0013,1.00304,1.49881,0.981095,3.0013,1.00304
39.7872,0.99486,0.274046,4,15,0,-35.0919,0.070616,0.125669,1.49559,1.0007,3.01067,1.00644,1.49559,1.0007,3.01067,1.00644
42.2901,0.984724,0.274046,4,15,0,-38.6559,0.0612749,0.0637462,1.50014,1.00013,3.00111,1.00061,1.50014,1.00013,3.00111,1.00061
40.8304,0.938786,0.274046,4,15,0,-38.4527,0.0944088,0.0530532,1.50381,1.00204,2.99368,0.995023,1.50381,1.00204,2.99368,0.995023
41.4811,0.979986,0.274046,4,15,0,-39.5764,0.0770219,0.0976771,1.50169,1.00045,2.99956,0.995826,1.50169,1.00045,2.99956,0.995826
39.2399,0.980559,0.274046,4,15,0,-36.372,0.0663878,0.0773697,1.49282,0.988221,3.01498,1.0077,1.49282,0.988221,3.01498,1.0077
39.6399,0.985511,0.274046,3,7,0,-38.513,0.0618469,0.0796486,1.49443,0.990483,3.0143,1.00835,1.49443,0.990483,3.0143,1.00835
40.1728,0.862765,0.274046,4,15,0,-35.9013,0.0849568,0.0755611,1.50427,1.01394,2.99113,0.993554,1.50427,1.01394,2.99113,0.993554
41.2261,0.991098,0.274046,4,15,0,-38.7982,0.0583955,0.0831322,1.49843,1.00658,3.00156,1.00117,1.49843,1.00658,3.00156,1.00117
38.9371,0.688946,0.274046,4,15,0,-37.8495,0.131626,0.0711163,1.50364,0.995733,2.99676,1.00037,1.50364,0.995733,2.99676,1.00037
36.1874,0.989956,0.274046,3,7,0,-34.6841,0.105854,0.0900291,1.49676,1.00045,2.98124,1.00625,1.49676,1.00045,2.98124,1.00625
40.8264,1,0.274046,3,7,0,-35.402,0.0680905,0.07235,1.50185,1.00063,3.00795,0.997158,1.50185,1.00063,3.00795,0.997158
41.3127,0.969613,0.274046,3,7,0,-38.997,0.0720852,0.0665621,1.49768,0.998071,2.99829,1.00654,1.49768,0.998071,2.99829,1.00654
41.4174,0.99856,0.274046,4,15,0,-40.1138,0.0998789,0.0707542,1.50038,1.00696,3.00576,0.999565,1.50038,1.00696,3.00576,0.999565
41.5028,0.974959,0.274046,3,15,0,-40.3885,0.0926328,0.073138,1.49973,1.00658,2.9955,0.999953,1.49973,1.00658,2.9955,0.999953
41.8808,0.995028,0.274046,2,3,0,-41.3805,0.0929619,0.0727496,1.50053,1.00572,2.99591,0.99955,1.50053,1.00572,2.99591,0.99955
39.8623,0.948772,0.274046,3,7,0,-38.6325,0.0604348,0.0564831,1.5013,1.01398,2.99669,1.00005,1.5013,1.01398,2.99669,1.00005
42.3817,0.999335,0.274046,3,7,0,-39.2772,0.0624794,0.064995,1.5012,1.003,2.99789,0.999495,1.5012,1.003,2.99789,0.999495
40.1359,0.54434,0.274046,2,3,0,-39.0806,0.0644834,0.0676067,1.50283,1.00395,2.99932,1.00158,1.50283,1.00395,2.99932,1.00158
39.2466,0.983447,0.274046,4,15,0,-36.0619,0.0628914,0.0708987,1.50417,1.0113,3.00311,0.992138,1.50417,1.0113,3.00311,0.992138
38.7963,0.992214,0.274046,4,15,0,-37.5417,0.101122,0.0730366,1.50542,0.999992,2.97836,0.998207,1.50542,0.999992,2.97836,0.998207
39.8531,0.857374,0.274046,3,7,0,-35.2518,0.108681,0.0671164,1.50311,1.0043,2.99948,1.00209,1.50311,1.0043,2.99948,1.00209
41.1727,0.958381,0.274046,3,11,0,-37.9193,0.0816551,0.07443,1.4948,0.995412,3.01016,1.00766,1.4948,0.995412,3.01016,1.00766
41.4361,0.936012,0.274046,4,15,0,-40.1401,0.0808667,0.0745651,1.50267,1.00807,2.99339,0.99518,1.50267,1.00807,2.99339,0.99518
41.5546,0.943231,0.274046,4,15,0,-37.6751,0.0844089,0.0584266,1.50065,1.0062,2.99558,0.998504,1.50065,1.0062,2.99558,0.998504
36.8833,0.933189,0.274046,4,15,0,-34.3194,0.132746,0.0808313,1.49295,0.997831,3.00376,1.01708,1.49295,0.997831,3.00376,1.01708
38.8666,0.981959,0.274046,4,15,0,-34.8891,0.060977,0.0651594,1.50495,1.00196,3.00264,0.992483,1.50495,1.00196,3.00264,0.992483
39.1897,1,0.274046,4,15,0,-35.7656,0.0825898,0.0918602,1.49971,1.0174,3.00225,1.00452,1.49971,1.0174,3.00225,1.00452
37.7124,0.925489,0.274046,3,7,0,-36.9345,0.0775113,0.0896658,1.49993,1.01859,3.00385,1.00634,1.49993,1.01859,3.00385,1.00634
41.367,0.932399,0.274046,4,15,0,-34.8655,0.065916,0.0806428,1.50266,0.998028,3.00203,0.997035,1.50266,0.998028,3.00203,0.997035
38.1866,0.962626,0.274046,4,15,0,-35.6469,0.0971442,0.0811862,1.49077,0.995697,3.00737,1.01513,1.49077,0.995697,3.00737,1.01513
38.2985,0.967785,0.274046,4,15,0,-35.5219,0.112173,0.0868268,1.49469,0.997313,2.99594,1.01319,1.49469,0.997313,2.99594,1.01319
38.6128,0.876796,0.274046,4,31,0,-36.1369,0.0704916,0.0723874,1.50382,0.999221,3.00867,0.995536,1.50382,0.999221,3.00867,0.995536
41.5171,1,0.274046,2,3,0,-38.7088,0.0796633,0.0675058,1.50128,0.999925,3.00342,0.995435,1.50128,0.999925,3.00342,0.995435
39.4018,0.966928,0.274046,4,15,0,-39.1336,0.0697524,0.0684903,1.50054,1.01211,2.99191,1.00457,1.50054,1.01211,2.99191,1.00457
40.267,0.963261,0.274046,4,15,0,-35.8456,0.0901621,0.116555,1.49682,1.00226,3.00574,1.00625,1.49682,1.00226,3.00574,1.00625
41.5398,0.914067,0.274046,3,15,0,-37.2079,0.0691219,0.0848346,1.50032,1.00427,2.99614,1.00366,1.50032,1.00427,2.99614,1.00366
41.0742,0.941897,0.274046,4,15,0,-40.3854,0.0883119,0.0669697,1.49811,0.997577,3.00673,0.998274,1.49811,0.997577,3.00673,0.998274
39.7398,0.996257,0.274046,4,15,0,-38.2801,0.0888382,0.0834886,1.50534,1.01331,2.98748,0.992763,1.50534,1.01331,2.98748,0.992763
37.5145,0.955625,0.274046,3,7,0,-35.9729,0.0991884,0.0573874,1.5094,1.01516,2.98614,0.988105,1.5094,1.01516,2.98614,0.988105
38.9269,0.991896,0.274046,3,7,0,-35.9049,0.0821344,0.0682209,1.50887,1.01102,2.98175,0.98924,1.50887,1.01102,2.98175,0.98924
40.2227,0.879116,0.274046,4,15,0,-35.1231,0.107378,0.0800567,1.49426,0.999726,3.00165,1.00755,1.49426,0.999726,3.00165,1.00755
37.5757,0.991166,0.274046,3,7,0,-37.2888,0.16273,0.0881816,1.49503,0.996264,3.00621,1.01026,1.49503,0.996264,3.00621,1.01026
39.9913,0.982079,0.274046,4,15,0,-35.9253,0.0474521,0.0616615,1.49683,1.00039,3.01225,1.0027,1.49683,1.00039,3.01225,1.0027
40.4938,1,0.274046,3,7,0,-39.7051,0.0514967,0.0596735,1.49671,1.00209,3.01227,1.00405,1.49671,1.00209,3.01227,1.00405
40.1874,0.960767,0.274046,4,15,0,-38.6346,0.0634673,0.0507569,1.49498,0.997804,3.00676,1.00674,1.49498,0.997804,3.00676,1.00674
39.5212,0.911644,0.274046,3,15,0,-35.0702,0.0573351,0.0470621,1.50193,1.00702,3.00382,0.996595,1.50193,1.00702,3.00382,0.996595
37.0831,0.861365,0.274046,4,15,0,-34.0244,0.104606,0.137053,1.49825,0.998264,3.0184,0.999324,1.49825,0.998264,3.0184,0.999324
38.5964,0.987681,0.274046,4,15,0,-32.9315,0.122361,0.0472311,1.49731,1.00572,3.00556,1.0008,1.49731,1.00572,3.00556,1.0008
33.71,0.943158,0.274046,4,15,0,-27.0541,0.135289,0.144317,1.50902,1.0173,2.98298,0.99397,1.50902,1.0173,2.98298,0.99397
40.7708,0.999912,0.274046,4,15,0,-31.7587,0.0646158,0.0529711,1.5043,0.999863,2.99191,0.99566,1.5043,0.999863,2.99191,0.99566
34.311,0.769376,0.274046,3,7,0,-31.3998,0.0662718,0.0315069,1.50318,1.00255,2.98727,0.9952,1.50318,1.00255,2.98727,0.9952
