# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = parameter_estimation_model_3.data.R
# init = 2 (Default)
# random
#   seed = 3242791300
# output
#   file = parameter_estimation_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.322233
# Diagonal elements of inverse mass matrix:
# 0.0884746, 0.0611761, 9.46575e-05, 0.000460313, 0.000137666, 9.57963e-05
41.1881,0.960561,0.322233,4,15,0,-38.2137,0.0972657,0.0929978,1.50117,0.998096,3.00184,0.996489,1.50117,0.998096,3.00184,0.996489
40.2401,0.971951,0.322233,3,15,0,-38.1543,0.0649393,0.0705287,1.50641,1.00018,2.98394,0.995816,1.50641,1.00018,2.98394,0.995816
40.3357,0.958514,0.322233,4,15,0,-35.9132,0.0841058,0.0713131,1.49649,1.00878,3.01208,1.00694,1.49649,1.00878,3.01208,1.00694
41.2143,0.99842,0.322233,4,15,0,-38.7427,0.0527488,0.0910293,1.50167,1.00145,2.99487,0.998096,1.50167,1.00145,2.99487,0.998096
40.7469,0.997007,0.322233,4,15,0,-39.602,0.0481077,0.0890912,1.50081,1.00241,3.0027,0.999852,1.50081,1.00241,3.0027,0.999852
42.0951,0.962056,0.322233,3,7,0,-39.8449,0.071159,0.0883289,1.49827,0.997974,3.00552,1.00148,1.49827,0.997974,3.00552,1.00148
39.8913,0.643191,0.322233,3,11,0,-37.0809,0.0922144,0.0741361,1.49934,0.98853,2.99666,0.998237,1.49934,0.98853,2.99666,0.998237
37.4736,0.874036,0.322233,3,7,0,-35.6603,0.116429,0.0786772,1.5028,0.985994,2.99076,1.00198,1.5028,0.985994,2.99076,1.00198
36.4834,0.992966,0.322233,3,7,0,-35.1809,0.121284,0.0816763,1.50394,0.984141,2.99147,1.00025,1.50394,0.984141,2.99147,1.00025
35.1994,0.974718,0.322233,4,15,0,-33.033,0.071658,0.0798152,1.50112,1.02034,3.00962,0.991799,1.50112,1.02034,3.00962,0.991799
39.9285,1,0.322233,3,7,0,-33.1041,0.100924,0.0791667,1.50238,0.996044,3.00535,1.00052,1.50238,0.996044,3.00535,1.00052
41.183,0.912267,0.322233,4,19,0,-37.7725,0.0884787,0.0740337,1.50372,1.00926,2.99292,0.99911,1.50372,1.00926,2.99292,0.99911
40.3993,0.782677,0.322233,4,15,0,-37.1383,0.0796389,0.0663984,1.50329,0.996415,3.00319,0.997262,1.50329,0.996415,3.00319,0.997262
41.6468,0.979897,0.322233,3,7,0,-38.5448,0.0902364,0.0680865,1.50294,0.998988,2.99886,0.997647,1.50294,0.998988,2.99886,0.997647
40.0686,0.912183,0.322233,3,7,0,-38.9063,0.0493429,0.104971,1.502,1.00754,2.99725,0.999754,1.502,1.00754,2.99725,0.999754
38.5682,0.679931,0.322233,3,15,0,-34.0196,0.0550819,0.0990662,1.50491,1.00679,2.99542,0.991133,1.50491,1.00679,2.99542,0.991133
35.208,0.896804,0.322233,3,7,0,-33.2436,0.059697,0.109117,1.50885,1.00718,2.99675,0.988278,1.50885,1.00718,2.99675,0.988278
39.3948,1,0.322233,4,15,0,-33.7251,0.116768,0.0520535,1.49658,0.996098,2.99946,1.00773,1.49658,0.996098,2.99946,1.00773
40.9037,0.982006,0.322233,3,7,0,-36.6811,0.0813995,0.0763052,1.49504,0.997151,3.00622,1.00945,1.49504,0.997151,3.00622,1.00945
41.3305,0.958669,0.322233,3,11,0,-35.1509,0.0669764,0.0897814,1.49758,1.00853,3.00543,1.00377,1.49758,1.00853,3.00543,1.00377
41.243,0.847785,0.322233,3,15,0,-39.0189,0.0835832,0.100038,1.50163,1.00664,3.00399,0.997422,1.50163,1.00664,3.00399,0.997422
40.5197,0.965423,0.322233,3,7,0,-39.5956,0.0661059,0.109261,1.49976,1.00694,3.00586,0.997848,1.49976,1.00694,3.00586,0.997848
39.8504,0.999003,0.322233,3,7,0,-39.1436,0.0730296,0.121288,1.50053,1.01109,2.99764,1.00283,1.50053,1.01109,2.99764,1.00283
38.488,0.716196,0.322233,4,15,0,-34.2573,0.139651,0.0663357,1.50442,0.994606,2.99254,0.994551,1.50442,0.994606,2.99254,0.994551
39.1647,0.927424,0.322233,3,7,0,-35.0104,0.123463,0.0835414,1.50532,1.00178,2.98655,0.998823,1.50532,1.00178,2.98655,0.998823
